2025-09-18 19:14:31,608 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:14:31,609 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:31,612 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:14:31,613 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:14:31,614 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:14:31,615 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:14:31,616 | trend-bot | INFO | ================================================================================
2025-09-18 19:14:31,616 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:14:31,617 | trend-bot | INFO | 
2025-09-18 19:14:31,617 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:14:31,618 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:14:31,619 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:15:26,126 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:26,127 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:15:26,128 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:26,128 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:15:26,130 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:15:26,131 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:15:26,132 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:15:26,133 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:26,134 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:15:26,134 | trend-bot | INFO | 
2025-09-18 19:15:26,135 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:15:26,136 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:15:26,136 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:15:28,016 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:28,017 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:15:28,018 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:28,018 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:15:28,019 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:15:28,020 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:15:28,020 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:15:28,021 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:28,021 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:15:28,022 | trend-bot | INFO | 
2025-09-18 19:15:28,022 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:15:28,023 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:15:28,023 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:15:32,410 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:32,411 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:15:32,412 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:32,412 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:15:32,413 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:15:32,413 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:15:32,414 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:15:32,414 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:32,415 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:15:32,416 | trend-bot | INFO | 
2025-09-18 19:15:32,416 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:15:32,417 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:15:32,417 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:15:38,447 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:38,448 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:15:38,448 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:38,449 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:15:38,449 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:15:38,450 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:15:38,451 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:15:38,451 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:38,452 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:15:38,452 | trend-bot | INFO | 
2025-09-18 19:15:38,453 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 19:15:38,454 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 19:15:38,454 | trend-bot | ERROR | Failed to initialize client
2025-09-18 19:15:48,478 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:48,478 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 19:15:48,479 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:48,479 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 19:15:48,480 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 19:15:48,480 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 19:15:48,480 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 19:15:48,481 | trend-bot | INFO | ================================================================================
2025-09-18 19:15:48,481 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 19:15:48,482 | trend-bot | INFO | 
